Obsolète;Code terrain;Toponyme;Type;Date creation;Dernière modification;Date validation;Position;Latitude;Longitude;Altitude;Consignes;Nombre de pistes;Nature première piste;Axe préférentiel première piste;Largeur première piste;Longueur première piste;Orientation première piste;Nature deuxième piste;Axe préférentiel deuxième piste;Largeur deuxième piste;Longueur deuxième piste;Orientation deuxième piste;Radio;Carburant;Facilités;Facilités en clair;Email de contact;Téléphone;Informations complémentaires;Gestionnaire terrain
;LF4123;Souesmes;Aérodrome Privé Ouvert aux ULM;08/03/2011;24/12/2015;23/01/2016;47.448333,2.210833;N 47 26 54;E 002 12 39;443 ft;Aérodrome privé, PPR au propriétaire, SCAF Société Agricole et Forestière, phone: 02 54 98 81 17, fax: ~98 88 36.;1;herbe;;;800;'14-32;herbe;;;;'Inconnue;;;;;;+33 2 54 98 81 17;;SCAF Société Agricole et Forestière
;LF4124;Sougé;Aérodrome privé fermé temporairement;06/10/2011;02/11/2020;04/11/2020;47.762582821921,0.7389435238308124;N 47 45 45;E 000 44 20;203 ft;"Seuils décalés de 160 m en 08 et de 125 m en 26.


Verticale 1000 ft, tour de piste main droite à 500 ft.";1;herbe;;30;760;'08-26;herbe;;;;'Inconnue;123.500;;0;invalid;kaehlinc@yahoo.fr;+33 06 17 19 17 12;;Mme Kaehlin
;LF4125;Montrichard;Aérodrome Privé Ouvert aux ULM;18/06/2011;24/05/2016;16/05/2021;47.335230935954,1.202927827835083;N 47 20 07;E 001 12 11;210 ft;"Tour de piste uniquement au sud, seuils décalés de 80m. 





Privilégiez la piste 28, évitez Lechard et St-Julien-de-Chédon au sud.";1;herbe;'28;45;600;'10-28;herbe;;;;'Inconnue;123.500;;0;invalid;andrew.pitcher123@btinternet.com;; PPR  : Utilisation soumise à l'accord du responsable.;
;LF4128;Fougères sur Bièvre;Aérodrome Privé Ouvert aux ULM;06/10/2011;04/08/2022;07/08/2022;47.4582909274827,1.3664942979812622;N 47 27 30;E 001 21 59;335 ft;"Tour de piste main gauche.


Ne pas survoler  Fougères-sur-Bièvre et le petit étang près de l'extrémité S-0 de la piste.


Des tracteurs peuvent traverser la piste : être prêt à la remise gaz.


Des planeurs peuvent atterrir sans informer sur 123.5";1;herbe;;30;600;'07-25;herbe;;;;'Inconnue;123.500;;6;Restauration &agrave proximité;aapf.fougeres@gmail.com;+33 6 73 81 66 40;"PPR au gestionnaire : aapf.fougeres@gmail.com





 utilisation de la piste aux risques et périls du pilote de passage





Pizzeria sympa au village, à 2 km. Prévenir au 02 54 33 28 09





";Association Aéronautique Piste de Fougères (AAPF)
;LF4129;Cosseneux Vouzon;Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ;27/11/2013;28/10/2020;30/10/2020;47.6025,2.0866666666667015;N 47 36 09;E 002 05 12;394 ft;;1;herbe;;20;435;'03-21;herbe;;;;'Inconnue;123.500;;0;invalid;jean.marc.lefebvre.d@gmail.com;+33 6 80 86 27 72;Autorisation préalable nécessaire;
;LF4130;Pontlevoy;Base ULM Accès privé;03/09/2011;30/06/2025;02/07/2025;47.385304461284,1.2187957763671875;N 47 23 07;E 001 13 08;347 ft;"Tour de piste main gauche à 500 ft, verticale à 1000 ft.


'Si pas de manche à air : posé interdit !'";1;herbe;'03;20;500;'03-21;herbe;;;;'Inconnue;125.335;non;5;Camping possible;ulmpontlevoy@gmail.com;+33 6 28 13 96 69;"Radio non obligatoire..


Paramoteurs interdits.


Tractage de parapentes à proximité !


Passer bien au dessus des voiles !


Voir NOTAM si activé.


Activité connue de Seine Info


Attention ZRT CHAMBORD Rayon 2NM/2600FT AMSL (Extension LF R 96) Notam LFFA-R1531/25) du 26/06/25 au 15/04/26";Club ULM Léonard de Vinci
;LF4131;Vouzon Le Rabot;Aérodrome Privé Ouvert aux ULM;03/10/2011;12/05/2025;26/02/2026;47.653965,1.986033;N 47 39 14;E 001 59 10;426 ft;"Tour de piste 33  main gauche, demi tour sur piste obligatoire.


Tour de piste 15 main gauche, TWY à droite après la manche à air.


Evitez les sites cerclés de bleu.";1;herbe;'15;40;500;'15-33;;;;;;123.500;SP98 sur demand;2,4,6;Hangar possible, Gîte à proximité, Restauration &agrave proximité;jacques-descamps@orange.fr;+33 6 08 68 57 52;"Gestionnaire : Aéroclub Des Bruyères


Aérodrome ouvert aux ULM toutes classes


Jacques DESCAMPS  Président  Port. 06 08 68 57 52  @: jacques-descamps@orange.fr


Christian MOSER Trésorier  Port. 06 72 82 84 09  @: cmoser@wanadoo.fr


Serge LEDOGAR  Instructeur Port. 06 19 98 44 00 @ sledo@free.fr


Parking possible - Carburant SP98 sur demande


Site sous vidéo surveillance";Aeroclub des Bruyères
oui;LF4151;Blois Onzain;Base ULM fermée définitivement;21/04/2011;20/08/2012;09/04/2016;47.525,1.1805560000000241;N 47 31 30;E 001 10 50;348 ft;PPR obligatoire au propriétaire . Tour de piste au SUD Survol du Camping et des habitations alentour interdit Parking visiteur à côté de la manche à air Si manche à air absente : piste fermée;1;herbe;;20;400;'06-24;herbe;;;;'Inconnue;123.5;;;;ratton41@gmail.com;+33 6 07 35 35 24;"Piste privée, nécessite:





Protocole d'utilisation de la piste à remplir avant utilisation ou posée.


Sinon, taxe d'atterrissage ou immobilisation de l'appareil.





tél:0607353524";
oui;LF4152;Les Chateaux;Base ULM fermée définitivement;23/10/2011;22/06/2017;20/07/2019;47.333337747833,1.2759572103288974;N 47 20 00;E 001 16 33;239 ft;"Tour de piste sud 


seuil de piste à 50m en 14 et à 80m en 32";1;herbe;;20;300;'14-32;herbe;;;;'Inconnue;123.500;à 300m  24/24h;4,5;Gîte à proximité, Camping possible;;;;
;LF4153;Chauvigny du Perche;Base ULM Autorisation OBLIGATOIRE ;07/07/2011;07/01/2024;09/01/2024;47.949005930436,1.068892478942871;N 47 56 56;E 001 04 08;623 ft;Circuit main gauche.;1;herbe;;30;375;'09-27;herbe;;;;'Inconnue;125.335;Sur demande ;2;Hangar possible;ULM.CHAUVIGNY@orange.fr;+33 2 54 80 51 28;La plateforme est située à 700m à l'est de la ligne TGV. ;
;LF4155;Chouzy-sur-Cisse;Base ULM Autorisation OBLIGATOIRE ;25/04/2011;26/08/2017;14/04/2023;47.507030967982,1.2326492539673382;N 47 30 25;E 001 13 58;210 ft;"Tour de piste à l'Est / coté Loire


Ne pas survoler le golf et habitations à proximité


PROTOCOLE D'UTILISATION OBLIGATOIRE à remplir https://goo.gl/forms/BE6zhlwALAgc9OgD3 ";1;herbe;;40;500;'05-23;herbe;;;;'Inconnue;125.335;sur réservation;6,2;Restauration &agrave proximité, Hangar possible;contact@loisirs-loirevalley.com;+33 9 75 60 67 64;"suivre la Loire, 3 kms en amont du Château de Chaumont sur Loire direction Blois


Au Nord et perpendiculaire au plan d'eau (ancienne carrière de sables)


Jouxte le Golf et la ligne SNCF


Ligne électrique en 05 à 300m du seuil de piste et antenne 60m le long ligne SNCF





3 chambres d'hôtes sur place 


Activités de loisirs : randonnées quad, tir à l'arc, sentier pieds nus, golf


Restaurant : à 10mn de marche à pied ";LOISIRS LOIRE VALLEY
;LF4156;Frepelle;Base ULM Autorisation OBLIGATOIRE ;05/10/2011;23/03/2019;14/04/2023;47.82666666666667,1.3188888888888641;N 47 49 36;E 001 19 08;419 ft;"Verticale 1000 ft, tour de piste main gauche à 500 ft.





Vérifier l'activation de la ZRT A400M - SUP AIP N° 180/18  (activable du lundi au vendredi, hors jours fériés).";1;herbe;;20;300;'07-25;herbe;;;;'Inconnue;125.335;;0;invalid;maxoug41@yahoo.fr;+33 2 54 23 28 44;;Club A Voile et A Moteur
oui;LF4157;Selles Saint Denis;Base ULM fermée définitivement;14/05/2015;24/12/2015;15/12/2024;47.400138280524,1.9169593811035384;N 47 24 00;E 001 55 01;293 ft;"Au Nord 1100' (800')


Eviter le survol du village de SELLES SAINT DENIS et des lotissements en général (riverains très sensibles au bruit !).


";1;herbe;'25;15;475;'07-25;herbe;;;;'Inconnue;125.335;NON;6;Restauration &agrave proximité;topaviation@topmodel.fr;+33 2 54 94 01 02;"Horaires d'ouverture: Du lundi au vendredi de 10:00h à 18:00h


Plateforme à usage privé, réservée aux ULM basés.


Utilisation possible par ULM extérieurs après autorisation par le gestionnaire.


SSIS: Extincteur poudre et eau, téléphone, trousse de secours";TOPMODEL SAS
;LF4159;Maray;Base ULM fermée temporairement ;21/11/2023;18/03/2025;09/02/2026;47.257104,1.889883;N 47 15 26;E 001 53 24;90 ft;"Tour de Piste au Sud - Éviter le survol de Maray et des habitations.


Seuil de piste décalé en 28. Attention aux rabattants possibles en bout de piste à cause des haies.";1;herbe;'10;25;340;'10-28;;;;;;125.335;SP95/98 à 2 KMS;4,5;Gîte à proximité, Camping possible;olivier.ricois@free.fr;+33 6 60 39 71 04;;
;LF4160;Courmemin - Les Filaines;Base ULM Accès privé;09/02/2024;12/08/2025;14/08/2025;47.4551258615982,1.6438805186157124;N 47 27 18;E 001 38 38;380 ft;"Ne pas survoler les habitations environnantes.


Atterrissage interdit si absence de manche à air.


Prévoir seuil décalé au seuil 30 suite présence d'une petite haie.


Présence d'une trouée dans haie d'arbres à 60 m du seuil 12.


";1;herbe;;30;380;'12-30;herbe;;;;'Inconnue;125,335;;4;Gîte à proximité;ch.vannier747@gmail.com;+33 6 80 25 03 18;"Autorisation du propriétaire obligatoire.


";
;LF4161;base ULM dugny-Onzain;Base ULM Autorisation OBLIGATOIRE ;20/05/2024;20/05/2024;09/03/2026;47.526000,1.182000;N 47 31 34;E 001 10 55;;;1;herbe;;15;350;'05-23;;;;;;154.150  / 125.335;;1,3,4,5;Atelier ULM, Restauration sur place, Gîte à proximité, Camping possible;ge.vlam@hotmail.fr;+33 6 16 54 12 20;"Fréquence PARAMOTEUR 154.150


Fréquence ULM 125.335


Terrain de 40 Ha sans obstacles, situé sur les bords de Loire, à mi-chemin entre Blois et Amboise.


Piste balisée de 350 m x 15 m.  Club House avec électricité, eau courante, toilettes. Accueil caravanes, camping car et tentes. Bar et restauration. Hébergement possible en mobil-home


Ecole de vol paramoteur - baptême helIco classe 6.


facebook : Base ulm Dugny-Onzain - les Châteaux de Loire";
;LF4221;Col du Béal;AltiSurface en service ;13/07/2011;18/07/2016;18/12/2025;45.681220526012,3.7886313968234617;N 45 40 52;E 003 47 19;4825 ft;"att. 15 - déco. 33  


tdp main gauche - pente 7% à 10% 


sol lourd (terre de bruyère)";1;herbe;'15;30;400;'15-33;herbe;;;;'Inconnue;123.065;;3,4;Restauration sur place, Gîte à proximité;;+33 4 77 36 56 09;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe"; CCI St ETIENNE
;LF4222;La Jasserie;AltiSurface en service ;15/06/2011;09/02/2025;18/12/2025;45.38970023046998,4.578169844305076;N 45 23 23;E 004 34 41;4550 ft;"Deux survols de l'altisurface sont recommandés avant d'atterrir pour avertir les autres usagers et les promeneurs.


Altisurface interdite le WE et JF en période d’enneigement. Utilisation dangereuse par vent de sud supérieur à 10kt. Parapentes";1;herbe;;25;430;'18-36;herbe;;;;'Inconnue;123.065;;6,4;Restauration &agrave proximité, Gîte à proximité;;+33 6 76 44 09 39;"IMPERATIF : consulter la fiche ALTISURFACE sur le site de l'AFPM : https://www.afpm.fr


Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est  toutefois  fortement conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : prendre connaissance des circuits et des consignes particulières actualisée en temps réel  sur le site de l'AFPM      ";Voir Fiche AFPM 
;LF4223;Montverdun;Base ULM Autorisation OBLIGATOIRE ;02/11/2011;12/04/2020;14/04/2023;45.704441031962,4.074640274047852;N 45 42 16;E 004 04 29;1296 ft;"Accord préalable avant utilisation ! 


Réservé aux vrais ULM.


Piste herbe de 150 m x 30 m


Survol du château à l’est interdit


Ligne HT à l’ouest matérialisée par des boules";1;herbe;'06;30;150;'06-24;herbe;;;;'Inconnue;125.335;;6,4,5;Restauration &agrave proximité, Gîte à proximité, Camping possible;Philippe.dessaigne@cegetel.net;+33 6 07 26 28 38;;Philippe Dessaigne
;LF4224;Précieux;Base ULM Accès privé;25/10/2011;26/12/2015;22/02/2016;45.588125220473,4.17555570602417;N 45 35 17;E 004 10 32;1200 ft;"Tour de piste à l'ouest - 500ft/sol (150m)


Éviter le survol des villages et des fermes avoisinantes.


Ligne électrique au QFU 35


Piste en montée en 35


Base ULM située dans la CTR de Saint-Etienne";1;herbe;'35;20;400;'17-35;herbe;;;;'Inconnue;119.250;Sur demande;6,4;Restauration &agrave proximité, Gîte à proximité;gibert.gisele@wanadoo.fr;+33 4 77 30 72 78;;GIBERT Claude
;LF4225;Roanne Mably;Base ULM Accès privé;13/04/2011;06/04/2025;07/04/2025;46.085659045024,4.08665657043457;N 46 05 08;E 004 05 12;895 ft;"Arrivée verticale au minimum à 2000ft QNH


Circuits à l'est à 1500ft QNH


piste 34 main droite


piste 16 main gauche,


vent arrière verticale à la Loire.


Voir le T.D.P. en photo  


Merci d’éviter le survol des habitations avoisinantes. ";1;herbe;'34;30;500;'16-34;herbe;;;;'Inconnue;125.335;Possible sp98;6,2,4;Restauration &agrave proximité, Hangar possible, Gîte à proximité;lesailesdumerlin@free.fr;+33 7 49 32 13 15;"La base ULM de Mably se trouve au nord de Roanne en bordure du canal.


Dans un cadre enchanteur.





Amis(es) Ulmistes de toutes classes vous êtes les bienvenues.


Contact Gilles Crottier-Combe tel 06 32 51 82 43





Le club les ailes du merlin vous prête des vélos.  


";Gilles Crottier-Combe
;LF4226;Cret de Montieux;Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ;08/03/2011;21/08/2024;22/08/2024;45.463927350754,4.607767677307265;N 45 27 50;E 004 36 28;2384 ft;"Aérodrome privé de type altisurface. 





Atterrissage en 16, décollage en 34. 





Terrain interdit si présence de moutons sur le site.


Sol irrégulier. 





Piste sur un dôme, fortes turbulences possibles.";1;herbe;'16;20;200;'16-34;herbe;;;;'Inconnue;123.500;;0;invalid;eddy@linked.fr;+33 6 33 38 14 59;"Aérodrome strictement privé, autorisation nécessaire.


Qualification montagne obligatoire en avion.


Fort dévers de part et d'autre de l'axe.


Sol irrégulier, clôture en bout de piste.


Atterrissage interdit en présence des moutons.


Survol des habitations interdit.


2 atterrissages maximum / jour


Située sur le territoire du Parc Régional du Pilat.


";
oui;LF4227;Champdieu;Base ULM Réglementé Avec Restrictions Autorisation OBLIGATOIRE ;05/12/2011;04/09/2012;04/09/2012;45.638257334646,4.0609502792358;N 45 38 18;E 004 03 39;1250 ft;"Seuils décalés - Longueur utilisable: 290 m - Longueur totale: 380 m


Tour de piste à l'Est - > 500 ft sol


Vent arrière: verticale route


Survol habitations avoisinantes et village de Champdieu interdit


Attention: Ligne EDF-HTA en finale 0";1;herbe;'02;20;200;'02-20;;;;;;Auto-info 123.5;Sur demande;6,4;Restauration &agrave proximité, Gîte à proximité;contact@wing-over.fr;+33 6 18 46 12 65;;WING-OVER - Air Sports
oui;LF4228;Base ULM du Forez;Base ULM fermée définitivement;03/09/2012;29/09/2018;30/09/2018;45.638011084733,4.060860865087875;N 45 38 17;E 004 03 39;1254 ft;"Seuils décalés - Longueur utilisable: 290 m - Longueur totale: 380 m


Tour de piste à l'Est à 500 ft sol minimum





Ligne EDF HT matérialisée en trouée 02 (visible sur photo)





Survol du village de Champdieu et des habitations voisines interdit";1;herbe;'02;20;380;'02-20;herbe;;;;'Inconnue;123.500 MHz;Sur demande;6,4;Restauration &agrave proximité, Gîte à proximité;contact@guillaumerichard.com;+33 6 65 43 20 36;;Guillaume RICHARD
;LF4229;Maubeu;Aérodrome fermé.;14/12/2013;28/10/2022;18/12/2025;45.493299045169,4.46390105042417;N 45 29 36;E 004 27 50;1650 ft;"att 06 pente 30% sur 30m et 20% sur 130m


PPR obligatoire";1;herbe;'06;25;150;'06-24;herbe;;;;'Inconnue;123.065;;6,4;Restauration &agrave proximité, Gîte à proximité;;;"Terrain de type altisurface.


Pas de remise de gaz possible en finale, un seul tdp , absence de plateforme, parking difficile.";
;LF4230;La jalabertière;Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ;02/05/2020;01/03/2023;14/04/2023;45.483885359591824,4.467835343872082;N 45 29 02;E 004 28 04;1755 ft;Éviter les habitations au nord et la ville de Sorbiers;1;herbe;;40;400;'18-36;herbe;;;;'Inconnue;125.335;possible;6,2,5,1;Restauration &agrave proximité, Hangar possible, Camping possible, Atelier ULM;louisulm@free.fr;+33 6 21 19 08 85;En pente, ATTERRISSAGE face au nord et DÉCOLLAGE face sud;LOUISULM
;LF4321;Mazeyrat;Aérodrome Privé Ouvert aux ULM;08/08/2011;25/01/2016;13/04/2022;45.107994274694,3.5035098227233448;N 45 06 29;E 003 30 13;1700 ft;"Aérodrome privé, autorisation obligatoire.


Survol de l'usine au bout de la piste 33 interdit (site sensible surveillé).";1;herbe;'33;70;460;'15-33;herbe;;;;'Inconnue;123.500;;0;invalid;;+33 6 38 86 49 14;"Piste non fauchée du 1er mai au 1er juillet. Écolage interdit sur le terrain.


Club LAPLUM créé en 1988 et réactivé depuis juillet 2011.


Pour une autorisation d'atterrissage, contacter :


- Jean-Claude Breuil, président, 06 38 86 49 14";Club ULM LAPLUM
;LF4323;Les Vastres;Base ULM Fermée temporairement ;09/11/2011;13/03/2025;15/03/2025;44.98541163219,4.26743745803833;N 44 59 07;E 004 16 03;3706 ft;"Intégration main gauche aux deux QFU





ULM rapide, expérience exigée





Pas d'atterrissage si pas de manche à air (Piste non praticable)





Pas de survol sur le stade de football 


";1;herbe;;40;250;'15-33;herbe;;;;'Inconnue;125.335;sur demande;6,4,5;Restauration &agrave proximité, Gîte à proximité, Camping possible;ulmvastres@gmail.com;+33 6 46 09 22 43;"piste à 800 m au SE du village des Vastres 


Camping possible (sans commodité)





Chambres d'hôtes: 'La rose des vents' Tél: 04 71 75 55 34 ou 06 36 92 13 89

















";
;LF4324;Beaux;Base ULM Accès privé;02/08/2023;22/08/2023;24/08/2023;45.1911683646952,4.089782573679828;N 45 11 28;E 004 05 23;2340 ft;"Interdiction de survol du village de Beaux au sud.


Atterrissage en 22 et décollage en 04  à PRIORISER.


";1;herbe;'22;25;100;'04-22;herbe;;;;'Inconnue;125.335;non;0;invalid;bechardgilbert@gmail.com;+33 6 08 62 82 15;"Autorisation écrite obligatoire avant utilisation.


Tour de piste à l'Est, sans dépasser le seuil de la piste 04.


Ligne électrique à moins de 100 m du seuil 04


Ligne très haute tension au nord.";Gilbert Béchard
;LF4325;Lapte;Base ULM Accès limité Autorisation OBLIGATOIRE ;27/02/2026;02/03/2026;02/03/2026;45.165824,4.211155;N 45 09 57;E 004 12 40;;"Cette plate-forme se situe :


A proximité de lieux d'habitations, interdiction de survol des habitations environnantes.


A l'intérieur du SETBA1 ARDECHE (surface /500 ft ASFC), secteur dédié à la réalisation d'activités aériennes militaires à très basse altitude.


Les utilisateurs  doivent adopter la plus grande prudence lors des évolutions dans le SETBA précité. 


la zone d'envol de 350 mètres direction EST devra toujours être priorisé.";1;herbe;;;;'09-27;;;;;;125.335;oui;1,2,4,5,6;Atelier ULM, Hangar possible, Gîte à proximité, Camping possible, Restauration &agrave proximité;contact@altitude840.fr;33608628215;Autorisation écrite obligatoire;BECHARD Gilbert
;LF4326;Adiac;Base ULM Réglementé Avec Restrictions Autorisation OBLIGATOIRE ;05/03/2026;05/03/2026;05/03/2026;45.127400,3.959130;N 45 07 39;E 003 57 33;1998 ft;Ligne HT sud ouest-nord est;1;herbe;'18;40;250;'18-36;;;;;;125,335;;4,6;Gîte à proximité, Restauration &agrave proximité;lucbongiraud@orange.fr;;Autorisation écrite préalable obligatoire.;L B
oui;LF4422;Plessé;Base ULM Accès privé;08/03/2011;13/01/2016;14/08/2016;47.525910456293,-1.841292621673574;N 47 31 33;W 001 50 29;131 ft;;1;herbe;;15;300;'03-21;herbe;;;;'Inconnue;Auto info 123.5;;2;Hangar possible;contact@solokart.com;+33 6 09 34 89 19;Base ré-ouverte.;Solokart
;LF4423;Saint Brévin les Pins;Base ULM ouverte tous types;01/12/2011;23/06/2023;25/06/2023;47.271309160536,-2.1303176879882812;N 47 16 17;W 002 07 49;10 ft;"Piste en dur prioritaire: TDP au Nord 500ft. 


Piste en herbe : TDP par l'Est 500ft. Fermée l'hiver humidité


Pas d'utilisation simultanée.


Éviter P8 matérialisée par le bord de Loire. Pas de survol de la Loire entre Paimboeuf et le pont de St Nazaire.";2;dur;'27;20;220;'09-27;herbe;'18;20;150;'18-36;125.335;non;0;invalid;ulm-cotedejade@orange.fr;+33 7 83 36 55 11;"Eviter survol du village au Sud des installations.





Pratique paramoteur et aérostat interdites par arrêté préfectoral.





Présence possible de caravanes de gens du voyage à proximité des pistes, ";ULM COTE DE JADE
;LF4451;Frossay;Base ULM ouverte tous types;10/04/2011;02/08/2024;04/08/2024;47.23906004282,-1.8776697619018705;N 47 14 21;W 001 52 40;10 ft;"Attention différents tours de pistes: 500 ft aal. Sens des tours de pistes : côté sud pour les 10/28 et 11/29, côté ouest pour la 18/36. 


Respectez les zones de survol interdit. Ne pas survoler les habitations proches du terrain (problèmes de voisinage).";2;dur;'1;12;230;'11-29;herbe;;15;340;'10-28;125.335;Sur Demande Tél;2,1;Hangar possible, Atelier ULM;eric.laskar@wanadoo.fr;+33 07 81 431 431;"Par pure politesse et sécurité, merci d'appeler avant de venir.


Plateforme fermée le mardi. Les pistes en herbe peuvent être inutilisables : sanglier, foin


Utilisez par sécurité la piste en dur.


C'est une Base ULM. Radio et Transpondeur ne sont pas obligatoires, c'est du vol à vue comme en 1910.


Pour la sécurité, il suffit d'ouvrir l’œil et non de parler dans sa radio sans regarder dehors


Attention au chien du propriétaire (Looping)";SCI AIGLE BLANC
;LF4452;La Planche;Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ;11/07/2011;02/11/2024;24/11/2025;47.027824,-1.434445;N 47 01 40;W 001 26 04;105 ft;"Attention : lignes à haute tension à 300m du seuil 25.


TOUR DE PISTE : au nord de la base, à 2.5 km du terrain : ne pas survoler les hameaux et les fermes.


LES TOURS DE PISTE AU SUD SONT INTERDITS


A proximité de l'aérodrome de MONTAIGU: restez à l'écoute sur 123.500


Ecole et tours de piste  interdits";1;herbe;;20;400;'07-25;;;;;;125.335;;0;invalid;;+33 6 11 97 30 90;"Plateforme réservée aux ULM, interdite aux avions, hélicoptères, planneurs, drones et à tous les aéronefs qui ne sont pas classés ULM.


Autorisation préalable obligatoire  +33 6 11 97 30 90";AEROCLUB DE LA PLANCHE
;LF4453;Nantes Héric;Base ULM ouverte tous types;02/11/2011;16/03/2021;14/04/2023;47.385956821934,-1.6355459986792766;N 47 23 09;W 001 38 08;110 ft;"Verticale (1000) 1100 ft


Tour de Piste au Sud entre la piste et le village de la Grande Haie (500) 600 ft


Côté Ouest, virez si possible avant la RN137 (4 voies).


Attention !!! présence de paramoteurs!


Para : Evitez le survol des habitations proches";1;herbe;;30;320;'09-27;herbe;;;;'Inconnue;125.335;Sur demande;5;Camping possible;lesnezauvent@gmail.com;+33 6 29 56 76 12;"Plateforme sous la TMA (D) Nantes 1.1 : max 2500ft AMSL


Forte activité paramoteur sur le terrain (école)


Ecole Classes 1,2,3,4 


Impraticable en hiver ou en cas de fortes pluies sauf para (Nous contacter)


Consignes para:


- se poser côté nord piste, dégager l'aile rapidement


- éviter de poser le long du hangar (turbulences)


- intégration Nord 500 pieds


- tdp 300ft


- utilisation des extrémités de la piste interdite (pb de visibilité)


";"Club ULM les Nez Au Vent"""""
;LF4454;Le Quilloux;Aérodrome Privé Ouvert aux ULM;08/03/2011;02/01/2016;16/05/2021;47.59941297565,-1.9147873227539094;N 47 35 58;W 001 54 53;120 ft;"07 main droite


25 main gauche";1;herbe;;40;800;'07-25;herbe;;;;'Inconnue;123.500;;3;Restauration sur place;gilles.bertrand8@wanadoo.fr;+33 6 81 61 09 43;"Chambres d'hôtes + repas le soir 


Merci de téléphoner pour prévenir";Bertrand Gilles
;LF4455;La Possardière;Base ULM Autorisation OBLIGATOIRE ;09/07/2011;14/03/2023;14/04/2023;46.964556502458,-1.7033958435058594;N 46 57 52;W 001 42 12;65 ft;"Tour de piste par le sud.


Ne pas survoler le village !


La piste 12 est en descente ";2;herbe;;16;250;'12-30;herbe;;16;250;'02-20;125.335;;5;Camping possible;Caltimages@aol.com;+33 7 71 45 85 22;"Base située à 20 km de la mer.


      - plus de chambre d'hôte


      - plus de restauration sur place


      - les deux pistes sont ouvertes (12-30 et 02-20)


";Ber Claude
oui;LF4456;les Moisans;Base ULM fermée définitivement;05/08/2014;10/03/2023;15/12/2024;47.27606414710808,-2.0968563573442225;N 47 16 34;W 002 05 49;10 ft;"tour de piste par le nord. 500 pieds (pistes fermées à compter du 25/11/2022)





Survol de la Loire interdit (P8). 





Pas de survol du hameau.";2;herbe;'29;20;250;'11-29;herbe;;18;250;'04-22;125.335;;4;Gîte à proximité;emrener1@gmail.com;+33 6 03 21 38 44;" Gite : http://manoirdelesperance.fr/


Avant fermeture définitive de la base (préemption du conservatoire du littoral), les 2 pistes sont fermées (croix blanches de marquage au sol)";Mounès
;LF4457;Campbon La Berthelière;Base ULM ouverte tous types;14/01/2016;11/09/2021;14/04/2023;47.420833333333334,-2.0119444444444525;N 47 25 15;W 002 00 43;146 ft;"Tour de piste au nord  500ft


Verticale terrain 1000 ft


Piste 27 en légère montée.


Éoliennes à l'ouest du terrain.


Attention à la ligne electrique en seuil 09";1;herbe;'27;30;330;'09-27;herbe;;;;'Inconnue;125.335;Sur demande;5;Camping possible;philippeboussaud@orange.fr;+33 6 73 34 19 02;"Plateforme  sous CTR (D) de St Nazaire2 à 1500 ft.


Philippe vole souvent avec des oiseaux, surtout le matin ou le soir. Laissez-lui la priorité


Par courtoisie, appeler Philippe avant de venir. Vous serez toujours bien accueilli.


ULM club de l'Ouest basé sur le site Président et souvent là Daniel Pouvreau (habitant à 2km) 06 30 66 71 26 ou danielulm-pouvreau@orange.fr";Boussaud Philippe
;LF4458;St Brévin les Pins;Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ;24/10/2020;24/10/2020;06/11/2020;47.23641539526401,-2.1416734695434503;N 47 14 11;W 002 08 30;62 ft;"Tour de piste côté Nord à 1000 ft.


Eviter le survol des villages de 'Basse Lande' et 'La Lande' au sud-ouest.


Piste préférentielle 30 à l'ATR et 12 au DL, en cas d'approche en 12, faire une base très serrée pour éviter survol des habitations";1;herbe;'30;40;550;'12-30;herbe;;;;'Inconnue;recommandée Fq Club;Néant;2;Hangar possible;brossardlalande@wanadoo.fr;33 240 274 884;Aérodrome privé accessible uniquement aux pilotes autorisés et déclarés en préfecture par le gestionnaire, interdit à tout autre aéronef. Autorisation peut être accordée aux avions, hélicoptères, ULM classes 2, 3, 4 et 6. ;M. Jean-Yves BROSSARD
oui;LF4521;Montliard;Base ULM fermée définitivement;08/03/2011;07/06/2015;17/07/2015;48.023045969399,2.4141307830810774;N 48 01 23;E 002 24 51;357 ft;;1;herbe;;20;540;'14-32;herbe;;;;'Inconnue;123.5;néant;;;;;;
;LF4524;Ligny;Aérodrome privé fermé définitivement.;08/03/2011;10/12/2019;14/06/2021;47.70551081620332,1.778455634948708;N 47 42 20;E 001 46 42;371 ft;PPR au propriétaire, Mr Roger Communeau.;1;herbe;;;700;'08-26;herbe;;;;'Inconnue;;;0;invalid;;;;
